# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  153       6.024447011017e-10       1.452227393180e-13      -6.228360760291e-12       0.000000000000e+00       3.163069887004e-12       5.684041272927e-13      -3.782153928625e-15 
  154       6.067884158130e-10       1.443870549987e-13      -6.223965078537e-12       0.000000000000e+00       3.104087080479e-12       5.603369413073e-13      -3.717659190977e-15 
  155       6.111020293642e-10       1.434969132044e-13      -6.216214832706e-12       0.000000000000e+00       3.046399041769e-12       5.523939696827e-13      -3.652951303966e-15 
  156       6.153844480844e-10       1.425538520501e-13      -6.205073939381e-12       0.000000000000e+00       2.990006944275e-12       5.445773496204e-13      -3.588087001167e-15 
  157       6.196345521256e-10       1.415595174743e-13      -6.190508033917e-12       0.000000000000e+00       2.934907907042e-12       5.368888152887e-13      -3.523123783573e-15 
  158       6.238511949634e-10       1.405156649226e-13      -6.172484510891e-12       0.000000000000e+00       2.881094901484e-12       5.293296876241e-13      -3.458119912651e-15 
  159       6.280332028967e-10       1.394241610314e-13      -6.150972564538e-12       0.000000000000e+00       2.828556658131e-12       5.219008641324e-13      -3.393134403399e-15 
  160       6.321793745487e-10       1.382869853110e-13      -6.125943229198e-12       0.000000000000e+00       2.777277573355e-12       5.146028086891e-13      -3.328227017397e-15 
  161       6.362884803667e-10       1.371062318294e-13      -6.097369419757e-12       0.000000000000e+00       2.727237616112e-12       5.074355413411e-13      -3.263458255869e-15 
  162       6.403592621226e-10       1.358841108957e-13      -6.065225972090e-12       0.000000000000e+00       2.678412234679e-12       5.003986281071e-13      -3.198889352730e-15 
