# z w_eff(z) cs2_fld(z)
144.04914762 -2.05249723 1.00000000
149.10592583 -2.05267294 1.00000000
154.34021988 -2.05286107 1.00000000
159.75826139 -2.05306195 1.00000000
165.36650072 -2.05327590 1.00000000
171.17161468 -2.05350329 1.00000000
177.18051446 -2.05374447 1.00000000
183.40035386 -2.05399979 1.00000000
189.83853783 -2.05426963 1.00000000
196.50273125 -2.05455438 1.00000000
203.40086808 -2.05485442 1.00000000
210.54116078 -2.05517016 1.00000000
217.93211013 -2.05550200 1.00000000
225.58251532 -2.05585038 1.00000000
233.50148441 -2.05621571 1.00000000
241.69844523 -2.05659843 1.00000000
250.18315653 -2.05699899 1.00000000
258.96571968 -2.05741786 1.00000000
268.05659061 -2.05785548 1.00000000
277.46659233 -2.05831235 1.00000000
287.20692777 -2.05878894 1.00000000
297.28919315 -2.05928574 1.00000000
307.72539176 -2.05980326 1.00000000
318.52794826 -2.06034199 1.00000000
329.70972347 -2.06090247 1.00000000
341.28402970 -2.06148521 1.00000000
353.26464654 -2.06209075 1.00000000
365.66583737 -2.06271961 1.00000000
378.50236621 -2.06337236 1.00000000
391.78951542 -2.06404952 1.00000000
405.54310382 -2.06475167 1.00000000
419.77950552 -2.06547936 1.00000000
434.51566948 -2.06623316 1.00000000
449.76913960 -2.06701363 1.00000000
465.55807569 -2.06782134 1.00000000
481.90127502 -2.06865688 1.00000000
498.81819474 -2.06952080 1.00000000
516.32897506 -2.07041369 1.00000000
534.45446315 -2.07133612 1.00000000
553.21623807 -2.07228866 1.00000000
572.63663634 -2.07327188 1.00000000
592.73877866 -2.07428635 1.00000000
613.54659731 -2.07533262 1.00000000
635.08486474 -2.07641126 1.00000000
657.37922301 -2.07752280 1.00000000
680.45621434 -2.07866779 1.00000000
704.34331270 -2.07984676 1.00000000
729.06895652 -2.08106022 1.00000000
754.66258255 -2.08230866 1.00000000
781.15466089 -2.08359259 1.00000000
808.57673130 -2.08491247 1.00000000
836.96144071 -2.08626875 1.00000000
866.34258213 -2.08766187 1.00000000
896.75513482 -2.08909223 1.00000000
928.23530600 -2.09056023 1.00000000
960.82057393 -2.09206621 1.00000000
994.54973250 -2.09361052 1.00000000
1029.46293747 -2.09519346 1.00000000
1065.60175424 -2.09681530 1.00000000
1103.00920733 -2.09847628 1.00000000
1141.72983163 -2.10017659 1.00000000
1181.80972540 -2.10191641 1.00000000
1223.29660518 -2.10369586 1.00000000
1266.23986253 -2.10551502 1.00000000
1310.69062293 -2.10737393 1.00000000
1356.70180656 -2.10927259 1.00000000
1404.32819135 -2.11121094 1.00000000
1453.62647820 -2.11318888 1.00000000
1504.65535843 -2.11520626 1.00000000
1557.47558372 -2.11726287 1.00000000
1612.15003842 -2.11935845 1.00000000
1668.74381437 -2.12149268 1.00000000
1727.32428846 -2.12366520 1.00000000
1787.96120280 -2.12587557 1.00000000
1850.72674776 -2.12812330 1.00000000
1915.69564794 -2.13040785 1.00000000
1982.94525108 -2.13272860 1.00000000
2052.55562021 -2.13508488 1.00000000
2124.60962892 -2.13747596 1.00000000
2199.19306002 -2.13990103 1.00000000
2276.39470773 -2.14235926 1.00000000
2356.30648331 -2.14484971 1.00000000
2439.02352454 -2.14737140 1.00000000
2524.64430896 -2.14992330 1.00000000
2613.27077112 -2.15250430 1.00000000
2705.00842394 -2.15511325 1.00000000
2799.96648433 -2.15774894 1.00000000
2898.25800318 -2.16041008 1.00000000
3000.00000000 -2.11275505 1.00000000
